SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1287039	491	491
1288048	494	494
1289058	511	511
1290078	508	508
1291136	509	509
1292282	496	496
1293329	524	524
1294342	523	523
1295343	493	493
1296361	485	485
1297449	544	544
1298454	541	541
1299474	488	488
1300495	500	500
1301511	525	525
1302538	538	538
1303560	541	541
1304579	487	487
1305624	471	471
1306691	540	540
1307698	539	539
1308743	494	494
1309772	527	527
1310790	496	496
1311809	499	499
1312860	474	474
1313873	468	468
1314876	468	468
1315884	491	491
1316944	488	488
1317964	469	469
1318981	493	493
1320032	498	498
1321051	464	464
1322057	480	480
1323111	485	485
1324127	486	486
1325141	488	488
1326142	448	448
1327154	466	466
1328160	484	484
1329179	483	483
1330222	487	487
1331244	496	496
1332251	507	507
1333252	519	519
1334275	497	497
1335288	505	505
1336329	477	477
1337352	490	490
1338411	495	495
1339478	515	515
1340487	514	514
1341506	486	486
1342543	506	506
1343575	512	512
1344591	504	504
1345597	520	520
1346608	482	482
1347640	485	485
1348657	501	501
1349667	495	495
1350684	483	483
1351698	498	498
1352708	485	485
1353720	487	487
1354728	514	514
1355741	529	529
1356751	527	527
1357764	499	499
1358778	479	479
1359821	492	492
1360838	543	543
1361840	500	500
1362842	515	515
1363872	512	512
1364909	508	508
1365948	474	474
1366978	536	536
1367980	501	501
1368988	512	512
1369996	517	517
1371002	486	486
1372047	509	509
1373058	518	518
1374116	466	466
1375144	502	502
1376158	501	501
1377159	499	499
1378244	499	499
1379248	483	483
1380253	496	496
1381264	488	488
1382278	504	504
1383289	503	503
1384307	479	479
1385323	493	493
1386337	513	513
1387347	473	473
1388350	478	478
1389393	512	512
1390406	515	515
1391566	504	504
1392584	482	482
1393599	528	528
1394620	477	477
1395676	502	502
1396684	491	491
1397687	523	523
1398703	497	497
1399717	456	456
1400727	506	506
1401741	489	489
1402754	505	505
1403761	526	526
1404803	514	514
1405813	512	512
1406821	501	501
1407829	491	491
1408833	487	487
1409839	485	485
1410934	493	493
1411961	516	516
1412979	495	495
1414008	525	525
1415015	513	513
1416056	511	511
1417148	513	513
1418165	507	507
1419173	489	489
1420203	470	470
1421210	524	524
1422247	481	481
1423250	524	524
1424262	499	499
